==============================================================================
REPORTE DE DIMENSIONES SIN RESOLVER — DELCA ERP
Generado: 2026-08-24 20:01
Total llantas afectadas: 1637
==============================================================================

DEFINICIÓN: llantas cuyo campo 'dimension' tiene texto (ej. '9.5R17.5')
pero 'dimension_id' quedó NULL — el parser del importador no reconoció
el formato y no se vincularon al catálogo 'dimensiones_llanta'.
Consecuencia: no son agrupables por catálogo y no reciben precio/prep
desde 'precios_producto' (que se vincula por dimension_id + diseno_id).

------------------------------------------------------------------------------
RESUMEN POR FORMATO DE DIMENSIÓN
------------------------------------------------------------------------------
Dimensión              Cantidad       %   Ejemplo tiquetes
9.5R17.5                   1391   85.0%   J10004, J10005, J10006
7.50R16                     106    6.5%   J10214, J10710, J10893
215/75R16C                   35    2.1%   J10250, J10251, J1026
7.00R15                      30    1.8%   J11449, J14841, J14842
7.00R16                      26    1.6%   J10712, J11545, J11546
31X10.50R15                  14    0.9%   J102, J11773, J11774
12-22.5                       7    0.4%   J10166, J12161, J12364
8.25R16                       5    0.3%   J20855, J3972, J3973
12-16.5                       3    0.2%   J1882, J2025, J818
295/80R22.5U                  3    0.2%   J10456, J14223, J14377
215/75-15                     2    0.1%   J11398, J11399
J20280 | 7.00R16 | REENCAUCHADA | CLIENTE | OCR
J20281 | 7.00R16 | REENCAUCHADA | CLIENTE | OCR
J20821 | 7.00R16 | REENCAUCHADA | CLIENTE | FOR
J20822 | 7.00R16 | REENCAUCHADA | CLIENTE | JKT
J21381 | 7.00R16 | REENCAUCHADA | CLIENTE | FOR
J21531 | 7.00R16 | REENCAUCHADA | CLIENTE | TRF
J21534 | 7.00R16 | REENCAUCHADA | CLIENTE | TRF
J22261 | 7.00R16 | REENCAUCHADA | CLIENTE | WSLK
J22262 | 7.00R16 | REENCAUCHADA | CLIENTE | HNK
J23417 | 7.00R16 | REENCAUCHADA | CLIENTE | ROA
J23451 | 7.00R16 | REENCAUCHADA | CLIENTE | AOSE
J3013 | 7.00R16 | REENCAUCHADA | CLIENTE | FOR
J3319 | 7.00R16 | REENCAUCHADA | CLIENTE | FOR
J3320 | 7.00R16 | REENCAUCHADA | CLIENTE | FOR
J4559 | 7.00R16 | REPARADA | PLANTA | GDY
J5090 | 7.00R16 | REENCAUCHADA | CLIENTE | CH
J6212 | 7.00R16 | APTA | PRODUCCION | AGAT
J668 | 7.00R16 | REENCAUCHADA | CLIENTE | GTR
J8092 | 7.00R16 | REENCAUCHADA | CLIENTE | LING
J15744 | 7.50-16U | APTA | PRODUCCION | GDY
J8695 | 7.50R15 | REENCAUCHADA | CLIENTE | BDG
J8696 | 7.50R15 | APTA | PRODUCCION | GDR
J10214 | 7.50R16 | REENCAUCHADA | CLIENTE | AGAT
J10710 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J10893 | 7.50R16 | REENCAUCHADA | CLIENTE | GDY
J12773 | 7.50R16 | REENCAUCHADA | CLIENTE | FOR
J13729 | 7.50R16 | REENCAUCHADA | CLIENTE | AGAT
J13730 | 7.50R16 | REENCAUCHADA | CLIENTE | GDY
J14179 | 7.50R16 | REENCAUCHADA | CLIENTE | MCH
J14180 | 7.50R16 | REENCAUCHADA | CLIENTE | MCH
J1534 | 7.50R16 | APTA | PLANTA | FOR
J1535 | 7.50R16 | REENCAUCHADA | CLIENTE | FOR
J1536 | 7.50R16 | REENCAUCHADA | CLIENTE | SUM
J15574 | 7.50R16 | APTA | PRODUCCION | ZETA
J16226 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J16458 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J16459 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J16590 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J17054 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J17055 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J17056 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J17057 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J17075 | 7.50R16 | REENCAUCHADA | CLIENTE | VIKR
J17076 | 7.50R16 | REENCAUCHADA | CLIENTE | VIKR
J17214 | 7.50R16 | APTA | PRODUCCION | ZETA
J17215 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J17216 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J17217 | 7.50R16 | APTA | PRODUCCION | ZETA
J17218 | 7.50R16 | APTA | PRODUCCION | ZETA
J17219 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J17545 | 7.50R16 | REPARADA | CLIENTE | AGAT
J18067 | 7.50R16 | REENCAUCHADA | CLIENTE | SAIL
J18068 | 7.50R16 | REENCAUCHADA | CLIENTE | SAIL
J18090 | 7.50R16 | REENCAUCHADA | CLIENTE | MCH
J18409 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J18410 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J18607 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J18698 | 7.50R16 | REENCAUCHADA | CLIENTE | RYB
J18699 | 7.50R16 | REENCAUCHADA | CLIENTE | RYB
J18941 | 7.50R16 | APTA | PRODUCCION | AGAT
J20710 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J20711 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J21001 | 7.50R16 | REENCAUCHADA | CLIENTE | FOR
J21002 | 7.50R16 | REENCAUCHADA | CLIENTE | FOR
J21232 | 7.50R16 | REENCAUCHADA | CLIENTE | FOR
J22258 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J22510 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J22511 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J22989 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J22990 | 7.50R16 | APTA | PRODUCCION | BOTO
J23055 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J23056 | 7.50R16 | APTA | PRODUCCION | ZETA
J23057 | 7.50R16 | APTA | PRODUCCION | ZETA
J23277 | 7.50R16 | REENCAUCHADA | CLIENTE | FOR
J23278 | 7.50R16 | REPARADA | CLIENTE | FOR
J23355 | 7.50R16 | REENCAUCHADA | CLIENTE | ZETA
J23400 | 7.50R16 | REENCAUCHADA | CLIENTE | BOTO
J23401 | 7.50R16 | REENCAUCHADA | CLIENTE | GDY
